username,rating,comment
dhitarurinadistyaningsih,5,
agustiyaermawati,5,
l*****2,5,
hana_jazzhole,5,
elfidarahmi,5,
m*****i,5,
sarahnasyahatun,5,
x*****e,5,
angelinewongsonegoro,5,
celaable,5,
i*****m,5,
f*****a,5,
deviramandey,5,
w*****5,5,
naomimegumi,5,
f*****a,5,
l*****a,5,
h2.soh,5,
u*****l,5,
utiek87,5,
erna13021980,5,
y*****d,5,
yuvanticandrawijaya,5,
s*****t,5,
calvieroshop,5,
iwishproject,5,
dianov14,5,
jessichanie,5,
dita_1992,5,
dilianti_eka,5,
mariasuci,5,
yansiscafransisca85,5,
lionelfilbert,5,
mama_ibul,5,
siabila,5,
rani.iswara_940723,5,
etika060788,5,
kimencimen,5,
ezzy_olshop,5,
claudiiaisabellachin,5,
v*****p,5,
novietangkilisanratmoko,5,
r*****h,5,
id7367_19587,5,
vennisilvia,5,
vennyunt1109,5,
l*****i,5,
g*****3,5,
cinthia_lee,5,
vinanggreani,5,
chrestellac,5,
mega.elisa,5,
laurensia.d,5,
mariariri,5,
gitapramesrani,5,
karmila_18,5,
hayuningrum,5,
gavinpratamajaya,5,
r*****8,5,
apriliarfd,5,
indri1788,5,
getsugatsu,5,
riakinanthi,5,
renyph28,5,
friendlyaromatix,5,
c*****m,5,
madedewimeyliawati,5,
k*****2,5,
refanshion2021,5,
n*****n,5,
erlin1987,5,
deko.prawijaya87,5,
27yesi12muktiari,5,
cinthia_lee,5,
friendlyaromatix,5,
getsugatsu,5,
renyph28,5,
riakinanthi,5,
sie_ata,5,
c*****m,5,
jojor_kg08,5,
yennysugiarto,5,
mekarwiantara,5,
birghittanonni,5,
98dg31cv0b,5,
chachiella,5,
nengciqoq,5,
imantikachristinaa,5,
fetrianaleay,5,
liesyelestari,5,
r*****b,5,
ryassz,5,
blink_link,5,
juliaranny84,5,
t*****s,5,
y*****0,5,
rincizoe,5,
aripiknik,5,
rhanie_rhanie,5,
ardianty632,5,
p*****u,5,
r*****a,5,
c*****3,5,
fany97,5,
yennysetiawati26490,5,
s*****i,5,
hanyaqoqom,5,
m*****6,5,
fraditaeka,5,
ki_desta,5,
arpina1804,5,
mrs.ayasendy,5,
murtia.widianto,5,
d*****0,5,
m*****y,5,
m*****h,5,
a*****q,5,
violla_shopcollection,5,
risdapakpahan,5,
khaisept,5,
d*****i,5,
yennipuspitawati,5,
silkya.shop,5,
veevoo19,4,
irmasavirasouisay,4,
ayuchintyanadewi,4,
dewishopiaok,5,
andizeuscallisto,5,
eitheen.id,5,
putri.mp,5,
d*****y,5,
alvikafd,5,
dianayulianijezfin,5,
polman.verapasaribu,4,
linasanialiu,4,
anaoktaillah,5,
c*****n,4,
tatacalista,5,
awexss,4,
c*****9,5,
clara95,5,
itatriayu,5,
gitapurana,5,
kristianiris,4,
jusepto,5,
mettacam,4,
y*****e,5,
faraghtaly,5,
anggaadi7,5,
inesia_sara,4,
shirley74,5,
f*****i,5,
corryjolemal,5,
a*****8,5,
d*****t,5,
deviroshindra,5,
heriyatikentjana,5,
nurul_aulia100,4,
h*****h,5,
pdmvml,5,
n*****9,4,
i*****a,5,
hanayuliana_77yaho,5,
d*****i,5,
tropecosmetics,5,
videlyne,5,
anne.222,5,
fitrimamaninta,5,
t*****i,5,
reginalvt,5,
desia.yanti,5,
prayudhani13,5,
aditbubu2,5,
jennytasya,5,
lilysiaucen,5,
a*****4,5,
dewikanisa,5,
i*****k,5,
j*****2,5,
d*****o,5,
theresia2104,5,
n0v1_mauliana,4,
merrychia1,5,
ghoniyus33,5,
i*****i,5,
debbydiko,5,
monicagitta,4,
ireneprasetyo,5,
vina.y_15,5,
dinaanovia,5,
reviska84,5,
erinnugroho,5,
vivihong90,5,
vivihong90,5,
prizaekawati,5,
a*****r,5,
y*****1,5,
y*****m,5,
ferrafarida,5,
dheaaimaniarr,4,
eva910,5,
puspita.mayasari,5,
renivincent,5,
beningskincarearaya,5,
aniesamaretta,4,
ahsanakmal99_,5,
jessicaf_05,5,
kdeindah.dwigunati,5,
inrawatisihotang,5,
dwityapada,5,
waty1378,5,
ristyml13,5,
flukeeveret,5,
s*****j,4,
a*****n,5,
felixjp1901,5,
mine07061607,5,
bustra10,5,
oqu5880427,5,
t*****0,5,
rism4widya,5,
33v66o9702,4,
antixhalim,5,
pearlafc,5,
dewiardhiyana,5,
nengdeuiskarisma,5,
yeti_soebyanto,5,
tgrmotorpart,5,
l*****s,5,
novitambunan86,5,
thesherly355,5,
ym_1105,5,
f*****9,5,
intenayu17,5,
uniquerashop,5,
s*****g,4,
jingyi_888,5,
periadi15,3,
dq9gxzmull,5,
lilism1,5,
nissa.twins88,5,
bclin75dbs,5,
lidsssssssssss,5,
febi2083,5,
nishamardha,5,
e*****a,5,
syw4eej9ec,5,
daekoshop,5,
ester_rika,5,
hongchen89,5,
mamaku1968,5,
8srfbwqji8,5,
yudhyap,5,
trisliantytalumewo075,5,
hongchen89,5,
mamaku1968,5,
teramira394,5,
tr7456bw79,5,
mahdira.officialshop,5,
wahidinyus99,5,
mazayadhira,5,
rizafauzirahmanhakim,5,
nurmayasarianwar,5,
adbranded,5,
kartikafindra,5,
8k7g3x9v5m,4,
